commodity,model,date,forecast_price
Kedelai Impor,GRU,2025-11-01,12994.848649794447
Kedelai Impor,GRU,2025-11-02,12992.542315037139
Kedelai Impor,GRU,2025-11-03,12990.248542199479
Kedelai Impor,GRU,2025-11-04,12987.973350534476
Kedelai Impor,GRU,2025-11-05,12985.71600081225
Kedelai Impor,GRU,2025-11-06,12983.474909414163
Kedelai Impor,GRU,2025-11-07,12981.24890876016
Kedelai Impor,GRU,2025-11-08,12979.037290905662
Kedelai Impor,GRU,2025-11-09,12976.83963923031
Kedelai Impor,GRU,2025-11-10,12974.655689453428
Kedelai Impor,GRU,2025-11-11,12972.485248254188
Kedelai Impor,GRU,2025-11-12,12970.32815256691
Kedelai Impor,GRU,2025-11-13,12968.184251440749
Kedelai Impor,GRU,2025-11-14,12966.053398866414
Kedelai Impor,GRU,2025-11-15,12963.935451383719
Kedelai Impor,GRU,2025-11-16,12961.83026752671
Kedelai Impor,GRU,2025-11-17,12959.737707843595
Kedelai Impor,GRU,2025-11-18,12957.65763501552
Kedelai Impor,GRU,2025-11-19,12955.589913931834
Kedelai Impor,GRU,2025-11-20,12953.53441170237
Kedelai Impor,GRU,2025-11-21,12951.490997620058
Kedelai Impor,GRU,2025-11-22,12949.459543083976
Kedelai Impor,GRU,2025-11-23,12947.43993509439
Kedelai Impor,GRU,2025-11-24,12945.432042305321
Kedelai Impor,GRU,2025-11-25,12943.43574214031
Kedelai Impor,GRU,2025-11-26,12941.450913837622
Kedelai Impor,GRU,2025-11-27,12939.477438448816
Kedelai Impor,GRU,2025-11-28,12937.515198809177
Kedelai Impor,GRU,2025-11-29,12935.564079502301
Kedelai Impor,GRU,2025-11-30,12933.623966824836
Minyak Goreng Sawit Curah,GRU,2025-11-01,17001.575420882113
Minyak Goreng Sawit Curah,GRU,2025-11-02,17002.174543273435
Minyak Goreng Sawit Curah,GRU,2025-11-03,17002.76922811361
Minyak Goreng Sawit Curah,GRU,2025-11-04,17003.35660632857
Minyak Goreng Sawit Curah,GRU,2025-11-05,17003.9348744768
Minyak Goreng Sawit Curah,GRU,2025-11-06,17004.50305323101
Minyak Goreng Sawit Curah,GRU,2025-11-07,17005.06068647521
Minyak Goreng Sawit Curah,GRU,2025-11-08,17005.607620912608
Minyak Goreng Sawit Curah,GRU,2025-11-09,17006.143869364118
Minyak Goreng Sawit Curah,GRU,2025-11-10,17006.669532635435
Minyak Goreng Sawit Curah,GRU,2025-11-11,17007.184756903556
Minyak Goreng Sawit Curah,GRU,2025-11-12,17007.68971109214
Minyak Goreng Sawit Curah,GRU,2025-11-13,17008.184575000585
Minyak Goreng Sawit Curah,GRU,2025-11-14,17008.66953306162
Minyak Goreng Sawit Curah,GRU,2025-11-15,17009.1447710051
Minyak Goreng Sawit Curah,GRU,2025-11-16,17009.610474022964
Minyak Goreng Sawit Curah,GRU,2025-11-17,17010.066825722504
Minyak Goreng Sawit Curah,GRU,2025-11-18,17010.514007507594
Minyak Goreng Sawit Curah,GRU,2025-11-19,17010.952198203828
Minyak Goreng Sawit Curah,GRU,2025-11-20,17011.381573830382
Minyak Goreng Sawit Curah,GRU,2025-11-21,17011.802307464794
Minyak Goreng Sawit Curah,GRU,2025-11-22,17012.214569168904
Minyak Goreng Sawit Curah,GRU,2025-11-23,17012.618525955942
Minyak Goreng Sawit Curah,GRU,2025-11-24,17013.014341785572
Minyak Goreng Sawit Curah,GRU,2025-11-25,17013.40217757792
Minyak Goreng Sawit Curah,GRU,2025-11-26,17013.782191240312
