variant_id,commodity,satuan_display,date,price,nama_hari
25,Telur Ayam Ras,kg,2/20/2024,25250,Selasa
26,Tepung Terigu,kg,2/20/2024,12750,Selasa
48,Kedelai Impor,kg,2/20/2024,15000,Selasa
2,Cabai Merah Keriting,kg,2/20/2024,53000,Selasa
10,Cabai Rawit Merah,kg,2/20/2024,53667,Selasa
9,Cabai Merah Besar,kg,2/20/2024,69000,Selasa
13,Bawang Merah,kg,2/20/2024,33667,Selasa
38,Bawang Putih Honan,kg,2/20/2024,31000,Selasa
52,Beras Medium,kg,2/21/2024,14383,Rabu
51,Beras Premium,kg,2/21/2024,15367,Rabu
14,Gula Pasir Curah,kg,2/21/2024,16000,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,2/21/2024,24000,Rabu
16,Minyak Goreng Sawit Curah,lt,2/21/2024,14833,Rabu
18,Minyakita,lt,2/21/2024,15000,Rabu
19,Daging Sapi Paha Belakang,kg,2/21/2024,120000,Rabu
27,Daging Ayam Ras,kg,2/21/2024,34667,Rabu
25,Telur Ayam Ras,kg,2/21/2024,25250,Rabu
26,Tepung Terigu,kg,2/21/2024,12750,Rabu
48,Kedelai Impor,kg,2/21/2024,15000,Rabu
2,Cabai Merah Keriting,kg,2/21/2024,56000,Rabu
10,Cabai Rawit Merah,kg,2/21/2024,56667,Rabu
9,Cabai Merah Besar,kg,2/21/2024,69000,Rabu
13,Bawang Merah,kg,2/21/2024,33667,Rabu
38,Bawang Putih Honan,kg,2/21/2024,31000,Rabu
52,Beras Medium,kg,2/22/2024,14617,Kamis
51,Beras Premium,kg,2/22/2024,15633,Kamis
14,Gula Pasir Curah,kg,2/22/2024,16400,Kamis
17,Minyak Goreng Sawit Kemasan Premium,lt,2/22/2024,24000,Kamis
16,Minyak Goreng Sawit Curah,lt,2/22/2024,14833,Kamis
18,Minyakita,lt,2/22/2024,15333,Kamis
19,Daging Sapi Paha Belakang,kg,2/22/2024,120000,Kamis
27,Daging Ayam Ras,kg,2/22/2024,34667,Kamis
25,Telur Ayam Ras,kg,2/22/2024,24750,Kamis
26,Tepung Terigu,kg,2/22/2024,12750,Kamis
48,Kedelai Impor,kg,2/22/2024,15000,Kamis
2,Cabai Merah Keriting,kg,2/22/2024,56000,Kamis
10,Cabai Rawit Merah,kg,2/22/2024,58333,Kamis
9,Cabai Merah Besar,kg,2/22/2024,69667,Kamis
13,Bawang Merah,kg,2/22/2024,33667,Kamis
38,Bawang Putih Honan,kg,2/22/2024,30667,Kamis
52,Beras Medium,kg,2/23/2024,14717,Jumat
51,Beras Premium,kg,2/23/2024,15800,Jumat
14,Gula Pasir Curah,kg,2/23/2024,16500,Jumat
17,Minyak Goreng Sawit Kemasan Premium,lt,2/23/2024,25000,Jumat
16,Minyak Goreng Sawit Curah,lt,2/23/2024,15833,Jumat
18,Minyakita,lt,2/23/2024,15500,Jumat
19,Daging Sapi Paha Belakang,kg,2/23/2024,120000,Jumat
27,Daging Ayam Ras,kg,2/23/2024,34667,Jumat
25,Telur Ayam Ras,kg,2/23/2024,25250,Jumat
26,Tepung Terigu,kg,2/23/2024,12500,Jumat
48,Kedelai Impor,kg,2/23/2024,15000,Jumat
2,Cabai Merah Keriting,kg,2/23/2024,59000,Jumat
10,Cabai Rawit Merah,kg,2/23/2024,63333,Jumat
9,Cabai Merah Besar,kg,2/23/2024,71333,Jumat
13,Bawang Merah,kg,2/23/2024,34000,Jumat
38,Bawang Putih Honan,kg,2/23/2024,30667,Jumat
52,Beras Medium,kg,2/26/2024,14717,Senin
51,Beras Premium,kg,2/26/2024,15800,Senin
14,Gula Pasir Curah,kg,2/26/2024,16500,Senin
17,Minyak Goreng Sawit Kemasan Premium,lt,2/26/2024,25000,Senin
16,Minyak Goreng Sawit Curah,lt,2/26/2024,15833,Senin
18,Minyakita,lt,2/26/2024,14833,Senin
19,Daging Sapi Paha Belakang,kg,2/26/2024,120000,Senin
27,Daging Ayam Ras,kg,2/26/2024,34667,Senin
25,Telur Ayam Ras,kg,2/26/2024,27750,Senin
26,Tepung Terigu,kg,2/26/2024,12500,Senin
48,Kedelai Impor,kg,2/26/2024,15000,Senin
2,Cabai Merah Keriting,kg,2/26/2024,61333,Senin
10,Cabai Rawit Merah,kg,2/26/2024,52333,Senin
9,Cabai Merah Besar,kg,2/26/2024,73667,Senin
13,Bawang Merah,kg,2/26/2024,28333,Senin
38,Bawang Putih Honan,kg,2/26/2024,32333,Senin
52,Beras Medium,kg,2/27/2024,14717,Selasa
51,Beras Premium,kg,2/27/2024,15800,Selasa
14,Gula Pasir Curah,kg,2/27/2024,16500,Selasa
17,Minyak Goreng Sawit Kemasan Premium,lt,2/27/2024,25000,Selasa
16,Minyak Goreng Sawit Curah,lt,2/27/2024,15833,Selasa
18,Minyakita,lt,2/27/2024,14833,Selasa
19,Daging Sapi Paha Belakang,kg,2/27/2024,120000,Selasa
27,Daging Ayam Ras,kg,2/27/2024,34667,Selasa
25,Telur Ayam Ras,kg,2/27/2024,28750,Selasa
26,Tepung Terigu,kg,2/27/2024,12500,Selasa
48,Kedelai Impor,kg,2/27/2024,15000,Selasa
2,Cabai Merah Keriting,kg,2/27/2024,81333,Selasa
10,Cabai Rawit Merah,kg,2/27/2024,52333,Selasa
9,Cabai Merah Besar,kg,2/27/2024,84000,Selasa
13,Bawang Merah,kg,2/27/2024,25333,Selasa
38,Bawang Putih Honan,kg,2/27/2024,32333,Selasa
52,Beras Medium,kg,2/28/2024,14717,Rabu
51,Beras Premium,kg,2/28/2024,15800,Rabu
14,Gula Pasir Curah,kg,2/28/2024,16500,Rabu
17,Minyak Goreng Sawit Kemasan Premium,lt,2/28/2024,25000,Rabu
16,Minyak Goreng Sawit Curah,lt,2/28/2024,15667,Rabu
18,Minyakita,lt,2/28/2024,14833,Rabu
19,Daging Sapi Paha Belakang,kg,2/28/2024,120000,Rabu
